METADATA:
Experiment Seed,Subject
8861192,sub002
Time after setup,3.991613000020152
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,9.627231599995866
Movie Task Start,9.6272711000056,,,,Movie Task,1,sub002,,,
Movie Init,17.346188900002744,,,,Movie Task,1,sub002,,,
Movie Start,17.346226699999534,,,,Movie Task,1,sub002,,videodata.mp4,
ESQ,144.23350450000726,,Distracting_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,148.24966760000098,,Distracting_response,5.6,Movie Task,1,sub002,,Marker Started at 3,Movie Task-videodata
ESQ,148.2514344000083,,Past_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,152.1025961000123,,Past_response,3.7000000000000015,Movie Task,1,sub002,,Marker Started at 2,Movie Task-videodata
ESQ,152.1049324000196,,Future_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,154.9885431000148,,Future_response,5.800000000000011,Movie Task,1,sub002,,Marker Started at 9,Movie Task-videodata
ESQ,154.99047129999963,,Problem_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,159.15804390000994,,Problem_response,4.800000000000002,Movie Task,1,sub002,,Marker Started at 3,Movie Task-videodata
ESQ,159.15993970001,,Other_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,162.94480240001576,,Other_response,4.100000000000007,Movie Task,1,sub002,,Marker Started at 7,Movie Task-videodata
ESQ,162.9468734000111,,Focus_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,166.31470220000483,,Focus_response,6.399999999999996,Movie Task,1,sub002,,Marker Started at 4,Movie Task-videodata
ESQ,166.31659420000506,,Knowledge_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,170.3498077999975,,Knowledge_response,7.800000000000001,Movie Task,1,sub002,,Marker Started at 8,Movie Task-videodata
ESQ,170.35173960000975,,Self_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,173.05266650000704,,Self_response,7.10000000000001,Movie Task,1,sub002,,Marker Started at 10,Movie Task-videodata
ESQ,173.0555646000139,,Emotion_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,177.3386808000214,,Emotion_response,7.10000000000001,Movie Task,1,sub002,,Marker Started at 10,Movie Task-videodata
ESQ,177.34062360000098,,Intrusive_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,180.64249910000945,,Intrusive_response,7.0999999999999925,Movie Task,1,sub002,,Marker Started at 5,Movie Task-videodata
ESQ,180.6446862000157,,Absorption_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,185.04559960000915,,Absorption_response,6.700000000000012,Movie Task,1,sub002,,Marker Started at 10,Movie Task-videodata
ESQ,185.04748780000955,,Deliberate_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,188.39769149999483,,Deliberate_response,3.500000000000013,Movie Task,1,sub002,,Marker Started at 9,Movie Task-videodata
ESQ,188.39962320000632,,Detailed_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,191.06711679999717,,Detailed_response,6.400000000000009,Movie Task,1,sub002,,Marker Started at 9,Movie Task-videodata
ESQ,191.06885390001116,,Sounds_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,194.35363329999382,,Sounds_response,3.0,Movie Task,1,sub002,,Marker Started at 3,Movie Task-videodata
ESQ,194.35557360001258,,Words_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,196.85449680002057,,Words_response,4.0,Movie Task,1,sub002,,Marker Started at 4,Movie Task-videodata
ESQ,196.85590759999468,,Images_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,201.27484719999484,,Images_response,7.199999999999996,Movie Task,1,sub002,,Marker Started at 6,Movie Task-videodata
Movie End videodata.mp4,201.2868645999988,,,,Movie Task,1,sub002,,0,
ESQ,323.10614960000385,,Images_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,326.0072388999979,,Images_response,7.0,Movie Task,1,sub002,,Marker Started at 7,Movie Task-videodata
ESQ,326.0090335000132,,Future_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,331.0776088999992,,Future_response,5.6000000000000085,Movie Task,1,sub002,,Marker Started at 8,Movie Task-videodata
ESQ,331.0780669999949,,Deliberate_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,333.7145547000109,,Deliberate_response,4.0,Movie Task,1,sub002,,Marker Started at 4,Movie Task-videodata
ESQ,333.71505860000616,,Words_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,337.6836638000095,,Words_response,4.000000000000017,Movie Task,1,sub002,,Marker Started at 10,Movie Task-videodata
ESQ,337.68558970000595,,Problem_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,341.85360890001175,,Problem_response,6.199999999999998,Movie Task,1,sub002,,Marker Started at 2,Movie Task-videodata
ESQ,341.85533489999943,,Detailed_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,345.3395107999968,,Detailed_response,5.9999999999999964,Movie Task,1,sub002,,Marker Started at 5,Movie Task-videodata
ESQ,345.34003399999347,,Past_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,347.94151220002095,,Past_response,4.8000000000000105,Movie Task,1,sub002,,Marker Started at 8,Movie Task-videodata
ESQ,347.9434096000041,,Self_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,350.44459830000415,,Self_response,9.0,Movie Task,1,sub002,,Marker Started at 9,Movie Task-videodata
ESQ,350.44647870000335,,Other_start,,Movie Task,1,sub002,,,Movie Task-videodata
ESQ,353.6624465000059,,Other_response,3.0,Movie Task,1,sub002,,Marker Started at 3,Movie Task-videodata
ESQ,353.66427840001415,,Intrusive_start,,Movie Task,1,sub002,,,Movie Task-videodata
